,Video_ID,Label,Frame_ID,Dataset,Train
5981,07290,1,Face2Face_07290.jpg,Face2Face,1.0
4325,11360,1,Deepfakes_11360_3.jpg,Deepfakes,1.0
5802,07170,1,deepfakedetection_07170.jpg,deepfakedetection,1.0
803,02730,0,youtube_02730.jpg,youtube,1.0
3465,04880,1,Deepfakes_04880_5.jpg,Deepfakes,1.0
2001,15220,0,actors_15220_2.jpg,actors,1.0
177,06430,0,youtube_06430_5.jpg,youtube,1.0
1200,10160,0,actors_10160.jpg,actors,1.0
1981,08710,0,youtube_08710.jpg,youtube,1.0
2340,03900,0,actors_03900_4.jpg,actors,1.0
4987,10030,1,FaceShifter_10030.jpg,FaceShifter,1.0
2652,14650,0,youtube_14650.jpg,youtube,1.0
3807,07960,1,Deepfakes_07960_4.jpg,Deepfakes,1.0
3193,01880,1,Deepfakes_01880_6.jpg,Deepfakes,1.0
2036,05190,0,youtube_05190_4.jpg,youtube,1.0
1634,04850,0,youtube_04850.jpg,youtube,1.0
5731,01300,1,Face2Face_01300_2.jpg,Face2Face,1.0
4049,00550,1,Face2Face_00550_8.jpg,Face2Face,1.0
5599,13430,1,Deepfakes_13430_6.jpg,Deepfakes,1.0
3739,05140,1,Face2Face_05140.jpg,Face2Face,1.0
5763,02250,1,FaceShifter_02250.jpg,FaceShifter,1.0
4675,00580,1,FaceSwap_00580.jpg,FaceSwap,1.0
2534,01320,0,youtube_01320_9.jpg,youtube,1.0
2140,16170,0,actors_16170.jpg,actors,1.0
3601,01560,1,Deepfakes_01560_7.jpg,Deepfakes,1.0
5135,00930,1,Face2Face_00930_3.jpg,Face2Face,1.0
5170,10400,1,Deepfakes_10400_3.jpg,Deepfakes,1.0
5691,01540,1,FaceShifter_01540.jpg,FaceShifter,1.0
2138,02560,0,actors_02560_4.jpg,actors,1.0
4468,06130,1,Face2Face_06130_4.jpg,Face2Face,1.0
4991,00690,1,Face2Face_00690_5.jpg,Face2Face,1.0
1359,04270,0,youtube_04270.jpg,youtube,1.0
5478,04530,1,Deepfakes_04530.jpg,Deepfakes,1.0
1127,17520,0,youtube_17520.jpg,youtube,1.0
4994,07480,1,FaceSwap_07480.jpg,FaceSwap,1.0
5799,10870,1,Deepfakes_10870_3.jpg,Deepfakes,1.0
5407,02270,1,FaceSwap_02270.jpg,FaceSwap,1.0
956,14300,0,actors_14300.jpg,actors,1.0
5491,14490,1,deepfakedetection_14490.jpg,deepfakedetection,1.0
1967,10220,0,youtube_10220.jpg,youtube,1.0
2102,02830,0,youtube_02830_10.jpg,youtube,1.0
3097,16220,1,Face2Face_16220.jpg,Face2Face,1.0
1624,04010,0,youtube_04010_5.jpg,youtube,1.0
796,08530,0,youtube_08530.jpg,youtube,1.0
5313,07010,1,Deepfakes_07010_6.jpg,Deepfakes,1.0
4238,00000006100,1,Face2Face_00000006100.jpg,Face2Face,1.0
1598,02450,0,youtube_02450_3.jpg,youtube,1.0
907,13310,0,youtube_13310_4.jpg,youtube,1.0
3506,04560,1,FaceShifter_04560.jpg,FaceShifter,1.0
2562,12860,0,actors_12860_3.jpg,actors,1.0
4875,10160,1,Deepfakes_10160_3.jpg,Deepfakes,1.0
3720,05900,1,Deepfakes_05900.jpg,Deepfakes,1.0
1014,02810,0,actors_02810_3.jpg,actors,1.0
4198,06740,1,Face2Face_06740_2.jpg,Face2Face,1.0
869,14480,0,actors_14480_3.jpg,actors,1.0
1493,07050,0,youtube_07050_3.jpg,youtube,1.0
2602,09150,0,actors_09150_2.jpg,actors,1.0
1500,00540,0,youtube_00540_5.jpg,youtube,1.0
3115,12030,1,Deepfakes_12030_3.jpg,Deepfakes,1.0
3572,01050,1,Face2Face_01050_5.jpg,Face2Face,1.0
607,03520,0,youtube_03520_3.jpg,youtube,1.0
1134,07990,0,youtube_07990_5.jpg,youtube,1.0
3595,13350,1,Face2Face_13350.jpg,Face2Face,1.0
461,14430,0,actors_14430_2.jpg,actors,1.0
4004,02410,1,Face2Face_02410.jpg,Face2Face,1.0
5754,07380,1,FaceShifter_07380.jpg,FaceShifter,1.0
3632,04750,1,Deepfakes_04750_12.jpg,Deepfakes,1.0
1147,06820,0,actors_06820_3.jpg,actors,1.0
3966,00070,1,Deepfakes_00070_10.jpg,Deepfakes,1.0
2970,05720,0,youtube_05720_4.jpg,youtube,1.0
1454,06590,0,youtube_06590_2.jpg,youtube,1.0
329,06940,0,youtube_06940_3.jpg,youtube,1.0
3875,05160,1,Deepfakes_05160_4.jpg,Deepfakes,1.0
4075,13530,1,Deepfakes_13530_3.jpg,Deepfakes,1.0
1380,08920,0,youtube_08920_2.jpg,youtube,1.0
2330,01190,0,youtube_01190_11.jpg,youtube,1.0
4595,00600,1,Deepfakes_00600_2.jpg,Deepfakes,1.0
4838,11160,1,deepfakedetection_11160.jpg,deepfakedetection,1.0
3407,16000,1,deepfakedetection_16000.jpg,deepfakedetection,1.0
5366,00840,1,Deepfakes_00840_9.jpg,Deepfakes,1.0
1709,05480,0,youtube_05480_8.jpg,youtube,1.0
3270,00700,1,Deepfakes_00700_7.jpg,Deepfakes,1.0
627,01770,0,youtube_01770_7.jpg,youtube,1.0
3768,01120,1,Deepfakes_01120.jpg,Deepfakes,1.0
4686,07290,1,Deepfakes_07290_7.jpg,Deepfakes,1.0
834,01650,0,actors_01650.jpg,actors,1.0
2368,01740,0,youtube_01740_8.jpg,youtube,1.0
3226,13330,1,Deepfakes_13330_6.jpg,Deepfakes,1.0
4206,03270,1,Deepfakes_03270_2.jpg,Deepfakes,1.0
709,09020,0,actors_09020_2.jpg,actors,1.0
2625,00860,0,youtube_00860_5.jpg,youtube,1.0
2052,03170,0,youtube_03170.jpg,youtube,1.0
2609,09720,0,actors_09720.jpg,actors,1.0
3605,11810,1,Deepfakes_11810_3.jpg,Deepfakes,1.0
5372,00840,1,Deepfakes_00840.jpg,Deepfakes,1.0
904,01400,0,youtube_01400_10.jpg,youtube,1.0
2002,07240,0,youtube_07240_2.jpg,youtube,1.0
1926,10590,0,youtube_10590_2.jpg,youtube,1.0
1463,03570,0,youtube_03570_6.jpg,youtube,1.0
5745,14200,1,deepfakedetection_14200.jpg,deepfakedetection,1.0
555,06890,0,youtube_06890_5.jpg,youtube,1.0
3186,04880,1,Face2Face_04880.jpg,Face2Face,1.0
411,01350,0,youtube_01350_3.jpg,youtube,1.0
3642,01140,1,Deepfakes_01140_5.jpg,Deepfakes,1.0
1814,04670,0,youtube_04670_5.jpg,youtube,1.0
1367,05260,0,youtube_05260.jpg,youtube,1.0
4255,04600,1,FaceSwap_04600.jpg,FaceSwap,1.0
3767,01740,1,FaceShifter_01740.jpg,FaceShifter,1.0
3519,05990,1,FaceShifter_05990.jpg,FaceShifter,1.0
3017,02480,1,Deepfakes_02480_2.jpg,Deepfakes,1.0
4252,12830,1,Deepfakes_12830_2.jpg,Deepfakes,1.0
375,10570,0,actors_10570.jpg,actors,1.0
260,07330,0,youtube_07330_8.jpg,youtube,1.0
5300,09080,1,FaceShifter_09080.jpg,FaceShifter,1.0
3018,10500,1,Deepfakes_10500.jpg,Deepfakes,1.0
4384,08980,1,Face2Face_08980.jpg,Face2Face,1.0
3900,07880,1,Deepfakes_07880_4.jpg,Deepfakes,1.0
3670,12060,1,Deepfakes_12060.jpg,Deepfakes,1.0
1619,01820,0,youtube_01820_4.jpg,youtube,1.0
925,02080,0,youtube_02080_9.jpg,youtube,1.0
5501,00500,1,Face2Face_00500_8.jpg,Face2Face,1.0
2643,02310,0,actors_02310_2.jpg,actors,1.0
2762,06430,0,youtube_06430_7.jpg,youtube,1.0
3887,08190,1,Deepfakes_08190_2.jpg,Deepfakes,1.0
4054,14290,1,deepfakedetection_14290.jpg,deepfakedetection,1.0
2300,10290,0,actors_10290_3.jpg,actors,1.0
5309,04790,1,Deepfakes_04790_7.jpg,Deepfakes,1.0
934,08560,0,youtube_08560.jpg,youtube,1.0
4580,01340,1,Deepfakes_01340_5.jpg,Deepfakes,1.0
3065,00220,1,deepfakedetection_00220.jpg,deepfakedetection,1.0
4427,01810,1,Deepfakes_01810_6.jpg,Deepfakes,1.0
2206,11190,0,actors_11190_2.jpg,actors,1.0
4743,05440,1,FaceShifter_05440.jpg,FaceShifter,1.0
5303,04580,1,Deepfakes_04580.jpg,Deepfakes,1.0
3751,16630,1,FaceShifter_16630.jpg,FaceShifter,1.0
5630,03880,1,Deepfakes_03880_6.jpg,Deepfakes,1.0
1234,14710,0,youtube_14710_2.jpg,youtube,1.0
1291,15960,0,youtube_15960.jpg,youtube,1.0
272,02990,0,youtube_02990_6.jpg,youtube,1.0
2331,11580,0,youtube_11580_5.jpg,youtube,1.0
1786,15920,0,actors_15920.jpg,actors,1.0
683,00880,0,youtube_00880_7.jpg,youtube,1.0
5608,05150,1,Deepfakes_05150_6.jpg,Deepfakes,1.0
3761,02310,1,Deepfakes_02310.jpg,Deepfakes,1.0
2631,11720,0,actors_11720.jpg,actors,1.0
5488,02610,1,Face2Face_02610.jpg,Face2Face,1.0
1002,12550,0,actors_12550.jpg,actors,1.0
4828,11270,1,Deepfakes_11270_4.jpg,Deepfakes,1.0
868,04380,0,actors_04380_3.jpg,actors,1.0
347,08730,0,youtube_08730_3.jpg,youtube,1.0
2389,06730,0,actors_06730.jpg,actors,1.0
5454,12170,1,Deepfakes_12170_3.jpg,Deepfakes,1.0
2804,04180,0,actors_04180.jpg,actors,1.0
2332,17470,0,youtube_17470.jpg,youtube,1.0
1499,11200,0,youtube_11200_6.jpg,youtube,1.0
2900,12950,0,youtube_12950_4.jpg,youtube,1.0
5522,10710,1,deepfakedetection_10710.jpg,deepfakedetection,1.0
4130,04150,1,Face2Face_04150.jpg,Face2Face,1.0
4070,04420,1,Deepfakes_04420_5.jpg,Deepfakes,1.0
1119,03230,0,youtube_03230_10.jpg,youtube,1.0
1224,02500,0,youtube_02500_7.jpg,youtube,1.0
2098,12010,0,youtube_12010_4.jpg,youtube,1.0
4915,05360,1,Deepfakes_05360_8.jpg,Deepfakes,1.0
4715,05190,1,Face2Face_05190_3.jpg,Face2Face,1.0
1008,14060,0,youtube_14060.jpg,youtube,1.0
1797,13510,0,youtube_13510_2.jpg,youtube,1.0
5850,05870,1,FaceShifter_05870.jpg,FaceShifter,1.0
778,02850,0,actors_02850_2.jpg,actors,1.0
4378,16200,1,Deepfakes_16200.jpg,Deepfakes,1.0
3970,14220,1,Face2Face_14220.jpg,Face2Face,1.0
3079,04490,1,Face2Face_04490_2.jpg,Face2Face,1.0
328,02650,0,youtube_02650_2.jpg,youtube,1.0
4845,06290,1,deepfakedetection_06290.jpg,deepfakedetection,1.0
1342,05680,0,actors_05680_4.jpg,actors,1.0
2921,00000003100,0,actors_00000003100.jpg,actors,1.0
5933,00030,1,deepfakedetection_00030.jpg,deepfakedetection,1.0
4528,04350,1,Deepfakes_04350_3.jpg,Deepfakes,1.0
3208,13860,1,Deepfakes_13860.jpg,Deepfakes,1.0
4253,13470,1,Face2Face_13470.jpg,Face2Face,1.0
1894,05700,0,youtube_05700_5.jpg,youtube,1.0
5969,03330,1,Deepfakes_03330_3.jpg,Deepfakes,1.0
1004,10520,0,actors_10520.jpg,actors,1.0
4835,12850,1,Deepfakes_12850_3.jpg,Deepfakes,1.0
943,10170,0,actors_10170_3.jpg,actors,1.0
2931,01240,0,actors_01240.jpg,actors,1.0
4228,13790,1,Deepfakes_13790_2.jpg,Deepfakes,1.0
114,00370,0,youtube_00370_3.jpg,youtube,1.0
3421,12140,1,FaceShifter_12140.jpg,FaceShifter,1.0
1669,00860,0,actors_00860_3.jpg,actors,1.0
3727,06090,1,Face2Face_06090_3.jpg,Face2Face,1.0
2201,08290,0,actors_08290_2.jpg,actors,1.0
1980,02880,0,youtube_02880_4.jpg,youtube,1.0
4022,07570,1,Deepfakes_07570.jpg,Deepfakes,1.0
5991,11680,1,Deepfakes_11680.jpg,Deepfakes,1.0
465,12340,0,youtube_12340.jpg,youtube,1.0
4776,05270,1,Deepfakes_05270.jpg,Deepfakes,1.0
2130,12530,0,youtube_12530.jpg,youtube,1.0
5457,07310,1,Deepfakes_07310_7.jpg,Deepfakes,1.0
5285,15820,1,FaceShifter_15820.jpg,FaceShifter,1.0
198,15500,0,youtube_15500.jpg,youtube,1.0
5785,05170,1,FaceSwap_05170.jpg,FaceSwap,1.0
5568,09730,1,Deepfakes_09730_2.jpg,Deepfakes,1.0
562,02290,0,actors_02290.jpg,actors,1.0
3474,03300,1,Face2Face_03300.jpg,Face2Face,1.0
1686,12620,0,youtube_12620_3.jpg,youtube,1.0
4887,03390,1,Deepfakes_03390_7.jpg,Deepfakes,1.0
1386,03480,0,youtube_03480_4.jpg,youtube,1.0
5222,15240,1,Deepfakes_15240.jpg,Deepfakes,1.0
4407,00190,1,Deepfakes_00190_3.jpg,Deepfakes,1.0
2215,04080,0,actors_04080.jpg,actors,1.0
139,12270,0,youtube_12270_4.jpg,youtube,1.0
336,03460,0,actors_03460_4.jpg,actors,1.0
5502,11620,1,FaceShifter_11620.jpg,FaceShifter,1.0
2120,15700,0,youtube_15700.jpg,youtube,1.0
3442,06460,1,Face2Face_06460_5.jpg,Face2Face,1.0
5719,00720,1,Deepfakes_00720_6.jpg,Deepfakes,1.0
4917,01390,1,Face2Face_01390_4.jpg,Face2Face,1.0
3090,05360,1,Face2Face_05360_2.jpg,Face2Face,1.0
249,13190,0,youtube_13190_6.jpg,youtube,1.0
1848,06300,0,youtube_06300_6.jpg,youtube,1.0
2961,04790,0,youtube_04790_9.jpg,youtube,1.0
5228,02250,1,Deepfakes_02250.jpg,Deepfakes,1.0
3471,13070,1,Deepfakes_13070_2.jpg,Deepfakes,1.0
3904,07290,1,FaceShifter_07290.jpg,FaceShifter,1.0
1050,04500,0,youtube_04500_5.jpg,youtube,1.0
572,01610,0,youtube_01610.jpg,youtube,1.0
2860,05040,0,youtube_05040.jpg,youtube,1.0
3583,10630,1,Face2Face_10630.jpg,Face2Face,1.0
2236,13430,0,actors_13430.jpg,actors,1.0
5759,03610,1,Face2Face_03610_3.jpg,Face2Face,1.0
4081,01430,1,Deepfakes_01430_3.jpg,Deepfakes,1.0
1591,00970,0,actors_00970_2.jpg,actors,1.0
3841,05100,1,Deepfakes_05100_4.jpg,Deepfakes,1.0
2771,03530,0,youtube_03530_6.jpg,youtube,1.0
1202,17190,0,youtube_17190.jpg,youtube,1.0
5258,11040,1,FaceShifter_11040.jpg,FaceShifter,1.0
2552,10730,0,youtube_10730_4.jpg,youtube,1.0
742,15880,0,actors_15880_4.jpg,actors,1.0
4243,00940,1,Deepfakes_00940.jpg,Deepfakes,1.0
3212,09070,1,FaceShifter_09070.jpg,FaceShifter,1.0
1842,05230,0,youtube_05230_5.jpg,youtube,1.0
1826,08660,0,actors_08660_2.jpg,actors,1.0
2842,01390,0,youtube_01390_4.jpg,youtube,1.0
4847,08050,1,Deepfakes_08050_3.jpg,Deepfakes,1.0
1816,07820,0,actors_07820_2.jpg,actors,1.0
3565,00100,1,Deepfakes_00100_7.jpg,Deepfakes,1.0
3671,06080,1,FaceShifter_06080.jpg,FaceShifter,1.0
3971,01350,1,Deepfakes_01350.jpg,Deepfakes,1.0
5037,15250,1,FaceShifter_15250.jpg,FaceShifter,1.0
105,11300,0,actors_11300_2.jpg,actors,1.0
906,07560,0,youtube_07560.jpg,youtube,1.0
5169,02700,1,deepfakedetection_02700.jpg,deepfakedetection,1.0
5200,02670,1,Deepfakes_02670.jpg,Deepfakes,1.0
2339,12370,0,youtube_12370_3.jpg,youtube,1.0
2755,06790,0,youtube_06790.jpg,youtube,1.0
931,02010,0,youtube_02010_5.jpg,youtube,1.0
693,12590,0,actors_12590.jpg,actors,1.0
702,00660,0,actors_00660_2.jpg,actors,1.0
398,04300,0,youtube_04300_5.jpg,youtube,1.0
3610,07690,1,deepfakedetection_07690.jpg,deepfakedetection,1.0
5847,05820,1,Deepfakes_05820_8.jpg,Deepfakes,1.0
5433,06350,1,Face2Face_06350_2.jpg,Face2Face,1.0
547,03160,0,actors_03160_2.jpg,actors,1.0
5403,15630,1,Deepfakes_15630.jpg,Deepfakes,1.0
2959,07050,0,youtube_07050_6.jpg,youtube,1.0
5603,04120,1,Deepfakes_04120_5.jpg,Deepfakes,1.0
1700,02390,0,youtube_02390_7.jpg,youtube,1.0
3059,02220,1,Face2Face_02220_3.jpg,Face2Face,1.0
4758,03860,1,deepfakedetection_03860.jpg,deepfakedetection,1.0
5209,04960,1,deepfakedetection_04960.jpg,deepfakedetection,1.0
3325,06490,1,FaceShifter_06490.jpg,FaceShifter,1.0
2543,04730,0,youtube_04730_10.jpg,youtube,1.0
4469,11360,1,Deepfakes_11360_2.jpg,Deepfakes,1.0
1163,01350,0,youtube_01350_10.jpg,youtube,1.0
1403,16160,0,actors_16160_3.jpg,actors,1.0
5988,04020,1,FaceShifter_04020.jpg,FaceShifter,1.0
2701,07090,0,youtube_07090_2.jpg,youtube,1.0
4483,13720,1,Deepfakes_13720_4.jpg,Deepfakes,1.0
3515,13960,1,Deepfakes_13960_4.jpg,Deepfakes,1.0
2561,09380,0,youtube_09380_2.jpg,youtube,1.0
5113,02700,1,Deepfakes_02700_7.jpg,Deepfakes,1.0
1607,06140,0,actors_06140.jpg,actors,1.0
229,05610,0,actors_05610_2.jpg,actors,1.0
3336,01490,1,FaceSwap_01490.jpg,FaceSwap,1.0
933,01500,0,youtube_01500_7.jpg,youtube,1.0
1757,01940,0,youtube_01940_8.jpg,youtube,1.0
1790,06790,0,actors_06790_2.jpg,actors,1.0
5918,00610,1,Face2Face_00610_7.jpg,Face2Face,1.0
466,04270,0,actors_04270_2.jpg,actors,1.0
3922,06630,1,FaceSwap_06630.jpg,FaceSwap,1.0
5248,05250,1,FaceShifter_05250.jpg,FaceShifter,1.0
173,06000,0,actors_06000.jpg,actors,1.0
3622,00660,1,Deepfakes_00660.jpg,Deepfakes,1.0
1672,01660,0,youtube_01660_2.jpg,youtube,1.0
1063,05100,0,youtube_05100_4.jpg,youtube,1.0
5995,05440,1,Deepfakes_05440_5.jpg,Deepfakes,1.0
4095,14520,1,FaceShifter_14520.jpg,FaceShifter,1.0
5276,04090,1,Deepfakes_04090_2.jpg,Deepfakes,1.0
4170,03770,1,Deepfakes_03770_4.jpg,Deepfakes,1.0
4744,05640,1,Deepfakes_05640_6.jpg,Deepfakes,1.0
4633,05420,1,Deepfakes_05420_4.jpg,Deepfakes,1.0
1752,01200,0,youtube_01200_7.jpg,youtube,1.0
1902,12000,0,actors_12000.jpg,actors,1.0
1160,06870,0,youtube_06870_7.jpg,youtube,1.0
4988,15690,1,deepfakedetection_15690.jpg,deepfakedetection,1.0
5718,03560,1,FaceShifter_03560.jpg,FaceShifter,1.0
2231,00880,0,youtube_00880_9.jpg,youtube,1.0
3525,06910,1,Deepfakes_06910_3.jpg,Deepfakes,1.0
348,13160,0,youtube_13160_2.jpg,youtube,1.0
5230,14760,1,Deepfakes_14760_2.jpg,Deepfakes,1.0
507,09540,0,actors_09540_2.jpg,actors,1.0
5286,01530,1,Deepfakes_01530_7.jpg,Deepfakes,1.0
1765,04640,0,youtube_04640_2.jpg,youtube,1.0
1464,11040,0,youtube_11040_2.jpg,youtube,1.0
2870,08560,0,actors_08560.jpg,actors,1.0
4326,04030,1,Face2Face_04030_2.jpg,Face2Face,1.0
2184,05640,0,youtube_05640_8.jpg,youtube,1.0
3298,14230,1,FaceShifter_14230.jpg,FaceShifter,1.0
32,03050,0,youtube_03050_11.jpg,youtube,1.0
4045,15200,1,deepfakedetection_15200.jpg,deepfakedetection,1.0
1440,01630,0,youtube_01630_9.jpg,youtube,1.0
712,00000,0,youtube_00000.jpg,youtube,1.0
3207,05680,1,Deepfakes_05680_5.jpg,Deepfakes,1.0
4462,07120,1,FaceSwap_07120.jpg,FaceSwap,1.0
1599,04740,0,actors_04740_3.jpg,actors,1.0
2850,07260,0,actors_07260_4.jpg,actors,1.0
5659,16770,1,Face2Face_16770.jpg,Face2Face,1.0
668,11370,0,youtube_11370_2.jpg,youtube,1.0
191,00410,0,youtube_00410.jpg,youtube,1.0
5181,00760,1,deepfakedetection_00760.jpg,deepfakedetection,1.0
2713,02180,0,youtube_02180.jpg,youtube,1.0
1113,01040,0,actors_01040_3.jpg,actors,1.0
3688,02730,1,Face2Face_02730.jpg,Face2Face,1.0
4242,04410,1,Face2Face_04410_3.jpg,Face2Face,1.0
4073,03650,1,Deepfakes_03650_2.jpg,Deepfakes,1.0
5779,04850,1,Deepfakes_04850_2.jpg,Deepfakes,1.0
5231,13200,1,Deepfakes_13200_2.jpg,Deepfakes,1.0
2608,03320,0,youtube_03320.jpg,youtube,1.0
2027,02500,0,actors_02500_3.jpg,actors,1.0
1458,02180,0,actors_02180_2.jpg,actors,1.0
416,07980,0,youtube_07980_4.jpg,youtube,1.0
4364,06280,1,Face2Face_06280.jpg,Face2Face,1.0
4929,17480,1,FaceShifter_17480.jpg,FaceShifter,1.0
508,01460,0,youtube_01460_5.jpg,youtube,1.0
50,08860,0,youtube_08860.jpg,youtube,1.0
3371,05150,1,FaceSwap_05150.jpg,FaceSwap,1.0
1139,10900,0,youtube_10900_4.jpg,youtube,1.0
4071,06510,1,Deepfakes_06510_3.jpg,Deepfakes,1.0
3248,08450,1,deepfakedetection_08450.jpg,deepfakedetection,1.0
4649,02670,1,Face2Face_02670_2.jpg,Face2Face,1.0
2558,10090,0,youtube_10090.jpg,youtube,1.0
2094,09400,0,youtube_09400.jpg,youtube,1.0
2930,06320,0,youtube_06320_3.jpg,youtube,1.0
3051,14420,1,deepfakedetection_14420.jpg,deepfakedetection,1.0
3626,08630,1,Deepfakes_08630.jpg,Deepfakes,1.0
5093,13210,1,Deepfakes_13210.jpg,Deepfakes,1.0
4678,09680,1,Deepfakes_09680_3.jpg,Deepfakes,1.0
3214,07790,1,Deepfakes_07790_3.jpg,Deepfakes,1.0
4176,01360,1,Deepfakes_01360_4.jpg,Deepfakes,1.0
1431,05430,0,youtube_05430.jpg,youtube,1.0
3667,07570,1,FaceSwap_07570.jpg,FaceSwap,1.0
1090,12670,0,youtube_12670_7.jpg,youtube,1.0
1036,01190,0,youtube_01190_8.jpg,youtube,1.0
2841,02860,0,actors_02860.jpg,actors,1.0
3139,16680,1,Deepfakes_16680.jpg,Deepfakes,1.0
273,00470,0,actors_00470.jpg,actors,1.0
5398,01420,1,Deepfakes_01420_3.jpg,Deepfakes,1.0
48,14220,0,actors_14220_2.jpg,actors,1.0
2544,08430,0,actors_08430_5.jpg,actors,1.0
1086,06910,0,youtube_06910_3.jpg,youtube,1.0
128,03260,0,youtube_03260_6.jpg,youtube,1.0
1832,05720,0,youtube_05720_3.jpg,youtube,1.0
4774,02940,1,Deepfakes_02940_5.jpg,Deepfakes,1.0
2158,10980,0,youtube_10980_4.jpg,youtube,1.0
2246,02350,0,youtube_02350.jpg,youtube,1.0
3931,09810,1,Face2Face_09810.jpg,Face2Face,1.0
2810,12020,0,youtube_12020_3.jpg,youtube,1.0
5841,14050,1,deepfakedetection_14050.jpg,deepfakedetection,1.0
1678,04510,0,youtube_04510_3.jpg,youtube,1.0
5348,00860,1,Deepfakes_00860_8.jpg,Deepfakes,1.0
5151,02650,1,Deepfakes_02650.jpg,Deepfakes,1.0
4353,02400,1,deepfakedetection_02400.jpg,deepfakedetection,1.0
4177,00210,1,Deepfakes_00210.jpg,Deepfakes,1.0
4536,02740,1,Deepfakes_02740_3.jpg,Deepfakes,1.0
2641,07940,0,actors_07940_4.jpg,actors,1.0
4038,01550,1,FaceShifter_01550.jpg,FaceShifter,1.0
2251,06010,0,actors_06010_3.jpg,actors,1.0
2290,06950,0,youtube_06950_5.jpg,youtube,1.0
2250,02480,0,youtube_02480_4.jpg,youtube,1.0
2369,06100,0,actors_06100_2.jpg,actors,1.0
2112,03910,0,youtube_03910_7.jpg,youtube,1.0
3402,10800,1,Face2Face_10800.jpg,Face2Face,1.0
1919,06530,0,youtube_06530_5.jpg,youtube,1.0
2835,04760,0,youtube_04760_3.jpg,youtube,1.0
529,08780,0,actors_08780.jpg,actors,1.0
2219,05970,0,youtube_05970_7.jpg,youtube,1.0
1311,04410,0,youtube_04410.jpg,youtube,1.0
1143,04790,0,youtube_04790.jpg,youtube,1.0
5122,01070,1,Deepfakes_01070.jpg,Deepfakes,1.0
